"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory"								
"1033975	Enochrus Thomson"	" 1859	1033975	Enochrus Thomson"	" 1859	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Hydrophilidae	7830	Enochrus	1033975			"						
"1347018	Sphex jamaicensis (Drury"	" 1773)	1347018	Sphex jamaicensis (Drury"	" 1773)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Sphecidae	4352	Sphex	1311747	Sphex jamaicensis	1347018	NE"						
"2298885	Oxynoe antillarum Mörch"	" 1863	2298885	Oxynoe antillarum Mörch"	" 1863	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Oxynoidae	2632	Oxynoe	2298883	Oxynoe antillarum	2298885	NE"						
"2382596	Anisotremus virginicus (Linnaeus"	" 1758)	2382596	Anisotremus virginicus (Linnaeus"	" 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Haemulidae	4276	Anisotremus	2382592	Anisotremus virginicus	2382596	LC"						
"2403010	Moringua edwardsi (Jordan & Bollman"	" 1889)	2403010	Moringua edwardsi (Jordan & Bollman"	" 1889)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Anguilliformes	495	Moringuidae	7189	Moringua	2351975	Moringua edwardsi	2403010	LC"						
"2448212	Aristelliger praesignis (Hallowell"	" 1856)	2448212	Aristelliger praesignis (Hallowell"	" 1856)	174	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Sphaerodactylidae	5789478	Aristelliger	2448202	Aristelliger praesignis	2448212	LC"						
"2483576	Myiarchus barbirostris (Swainson"	" 1827)	2483576	Myiarchus barbirostris (Swainson"	" 1827)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiarchus	2483527	Myiarchus barbirostris	2483576	LC"						
"2495346	Zenaida Bonaparte"	" 1838	2495346	Zenaida Bonaparte"	" 1838	4	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Zenaida	2495346			NE"						
"2601634	Phaeographis Müll.Arg."	" 1882	2601634	Phaeographis Müll.Arg."	" 1882	1	GENUS	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Ostropales	1279	Graphidaceae	2176	Phaeographis	2601634			NE"						
"3190638	Mangifera indica L.	3190638	Mangifera indica L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Mangifera	3075453	Mangifera indica	3190638	DD"								
