scientificName	family	nomenclaturalStatus	kingdom	scientificNameAuthorship	taxonKey	count(eea_cell_code)
Cylindroiulus punctatus (Leach, 1815)	Julidae		Animalia	(Leach, 1815)	1013651	1
Polydesmus angustus Latzel, 1884	Polydesmidae		Animalia	Latzel, 1884	1020607	2
Polydesmus testaceus Koch C.L., 1847	Polydesmidae		Animalia	Koch C.L., 1847	1020671	1
Mycogona germanica (Verhoeff, 1892)	Chordeumatidae		Animalia	(Verhoeff, 1892)	1023648	1
Darwinula stevensoni (Brady & Robertson, 1870)	Darwinulidae		Animalia	(Brady & Robertson, 1870)	1028923	1
Ectopsocus petersi Smithers, 1978	Ectopsocidae		Animalia	Smithers, 1978	1031394	175
Ectopsocus briggsi McLachlan, 1899	Ectopsocidae		Animalia	McLachlan, 1899	1031400	118
Amphigerontia bifasciata (Latreille, 1799)	Psocidae		Animalia	(Latreille, 1799)	1031437	2
Amphigerontia contaminata (Stephens, 1836)	Psocidae		Animalia	(Stephens, 1836)	1031438	7
Peripsocus alboguttatus (Dalman, 1823)	Peripsocidae		Animalia	(Dalman, 1823)	1031573	3
Peripsocus subfasciatus (Rambur, 1842)	Peripsocidae		Animalia	(Rambur, 1842)	1031575	9
Lachesilla pedicularia (Linnaeus, 1758)	Lachesillidae		Animalia	(Linnaeus, 1758)	1031620	3
Elipsocus abdominalis Reuter, 1904	Elipsocidae		Animalia	Reuter, 1904	1031652	2
Cuneopalpus cyanops (Rostock, 1876)	Elipsocidae		Animalia	(Rostock, 1876)	1031667	2
Lepinotus patruelis Pearman, 1931	Trogiidae		Animalia	Pearman, 1931	1031684	7
Psyllipsocus ramburii Selys-Longchamps, 1872	Psyllipsocidae		Animalia	Selys-Longchamps, 1872	1031737	5
Dorypteryx domestica (Smithers, 1958)	Psyllipsocidae		Animalia	(Smithers, 1958)	1031742	7
Dryops luridus (Erichson, 1847)	Dryopidae		Animalia	(Erichson, 1847)	1033452	2
Enochrus melanocephalus (A.G.Olivier, 1793)	Hydrophilidae		Animalia	(A.G.Olivier, 1793)	1033999	5
Anacaena globula (Paykull, 1798)	Hydrophilidae		Animalia	(Paykull, 1798)	1034063	12
Anacaena limbata (Fabricius, 1792)	Hydrophilidae		Animalia	(Fabricius, 1792)	1034064	3
Cryptopleurum subtile Sharp, 1884	Hydrophilidae		Animalia	Sharp, 1884	1034244	2
Cercyon melanocephalus (Linnaeus, 1758)	Hydrophilidae		Animalia	(Linnaeus, 1758)	1034421	1
Cercyon quisquilius (Linnaeus, 1760)	Hydrophilidae		Animalia	(Linnaeus, 1760)	1034424	1
Cercyon tristis (Illiger, 1801)	Hydrophilidae		Animalia	(Illiger, 1801)	1034425	1
Cercyon marinus C.G.Thomson, 1853	Hydrophilidae		Animalia	C.G.Thomson, 1853	1034428	1
Cercyon convexiusculus Stephens, 1829	Hydrophilidae		Animalia	Stephens, 1829	1034441	1
Cercyon ustulatus (Preyssler, 1790)	Hydrophilidae		Animalia	(Preyssler, 1790)	1034449	3
Cercyon unipunctatus (Linnaeus, 1758)	Hydrophilidae		Animalia	(Linnaeus, 1758)	1034452	1
Cercyon lateralis (Marsham, 1802)	Hydrophilidae		Animalia	(Marsham, 1802)	1034454	7
Cercyon terminatus (Marsham, 1802)	Hydrophilidae		Animalia	(Marsham, 1802)	1034462	1
Cercyon analis (Paykull, 1798)	Hydrophilidae		Animalia	(Paykull, 1798)	1034472	7
Elateroides dermestoides (Linnaeus, 1760)	Lymexylidae		Animalia	(Linnaeus, 1760)	1034608	11
Amara lunicollis Schiödte, 1837	Carabidae		Animalia	Schiödte, 1837	1035167	6
Amara anthobia A. & G.B.Villa, 1833	Carabidae		Animalia	A. & G.B.Villa, 1833	1035204	2
Loricera pilicornis (Fabricius, 1775)	Carabidae		Animalia	(Fabricius, 1775)	1035290	8
Nebria brevicollis (Fabricius, 1792)	Carabidae		Animalia	(Fabricius, 1792)	1035578	13
Bembidion tetracolum Say, 1823	Carabidae		Animalia	Say, 1823	1035931	6
Bembidion semipunctatum (Donovan, 1806)	Carabidae		Animalia	(Donovan, 1806)	1036066	1
Bembidion quadrimaculatum (Linnaeus, 1760)	Carabidae		Animalia	(Linnaeus, 1760)	1036128	6
Bembidion guttula (Fabricius, 1792)	Carabidae		Animalia	(Fabricius, 1792)	1036154	3
Bembidion obtusum Audinet-Serville, 1821	Carabidae		Animalia	Audinet-Serville, 1821	1036192	1
Bembidion properans (Stephens, 1828)	Carabidae		Animalia	(Stephens, 1828)	1036203	2
Asaphidion flavipes (Linnaeus, 1760)	Carabidae		Animalia	(Linnaeus, 1760)	1036796	3
Clivina fossor (Linnaeus, 1758)	Carabidae		Animalia	(Linnaeus, 1758)	1036893	4
Clivina collaris (Herbst, 1784)	Carabidae		Animalia	(Herbst, 1784)	1036899	3
Anisodactylus binotatus (Fabricius, 1787)	Carabidae		Animalia	(Fabricius, 1787)	1036917	6
Dytiscus marginalis Linnaeus, 1758	Dytiscidae		Animalia	Linnaeus, 1758	1038064	24
Bidessus unistriatus (Schrank, 1781)	Dytiscidae		Animalia	(Schrank, 1781)	1038153	1
Hydroporus striola (Gyllenhal, 1826)	Dytiscidae		Animalia	(Gyllenhal, 1826)	1038207	10
Hygrotus impressopunctatus (Schaller, 1783)	Dytiscidae		Animalia	(Schaller, 1783)	1038574	8
Ilybius fenestratus (Fabricius, 1781)	Dytiscidae		Animalia	(Fabricius, 1781)	1038781	2
Nicrophorus investigator (Zetterstedt, 1824)	Silphidae		Animalia	(Zetterstedt, 1824)	1038996	3
Nicrophorus humator (Gleditsch, 1767)	Silphidae		Animalia	(Gleditsch, 1767)	1039003	11
Nicrophorus vespillo (Linnaeus, 1758)	Silphidae		Animalia	(Linnaeus, 1758)	1039017	4
Nicrophorus interruptus (Stephens, 1830)	Silphidae		Animalia	(Stephens, 1830)	1039019	1
Trichonyx sulcicollis (Reichenbach, 1816)	Staphylinidae		Animalia	(Reichenbach, 1816)	1039457	7
Anotylus rugosus (Fabricius, 1775)	Staphylinidae		Animalia	(Fabricius, 1775)	1039463	10
Anotylus tetracarinatus (Block, 1799)	Staphylinidae		Animalia	(Block, 1799)	1039464	8
Carpelimus bilineatus (Stephens, 1834)	Staphylinidae		Animalia	(Stephens, 1834)	1039693	1
Carpelimus pusillus (Gravenhorst, 1802)	Staphylinidae		Animalia	(Gravenhorst, 1802)	1039712	2
Carpelimus corticinus (Gravenhorst, 1806)	Staphylinidae		Animalia	(Gravenhorst, 1806)	1039716	2
Carpelimus gracilis (Mannerheim, 1830)	Staphylinidae		Animalia	(Mannerheim, 1830)	1039734	6
Carpelimus rivularis (Motschulsky, 1860)	Staphylinidae		Animalia	(Motschulsky, 1860)	1039761	3
Oxytelus laqueatus (Marsham, 1802)	Staphylinidae		Animalia	(Marsham, 1802)	1039975	10
Oligota parva Kraatz, 1862	Staphylinidae		Animalia	Kraatz, 1862	1040045	3
Coprophilus striatulus (Fabricius, 1792)	Staphylinidae		Animalia	(Fabricius, 1792)	1040076	13
Stenus tarsalis Ljungh, 1810	Staphylinidae		Animalia	Ljungh, 1810	1040429	2
Aleochara bilineata Gyllenhal, 1810	Staphylinidae		Animalia	Gyllenhal, 1810	1040723	1
Aleochara lanuginosa Gravenhorst, 1802	Staphylinidae		Animalia	Gravenhorst, 1802	1040775	2
